Tanggal,Username,Tweet
"
2021-04-25 12:27:29",hudakharis,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:27:24",AmmarManchese,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:26:51",AchipDillatul,"RT @RadioRTM_Rasmi: Bagaimana pemberian vaksin #COVID19 akan dilaksanakan di Malaysia?

Infografik ini menerangkan secara terperinci.

@kem…"

"
2021-04-25 12:26:51",IzGastro,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:26:49",frieszanah,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:26:37",meerawani3,"RT @Gang_Utara: Azmin punya sembang tarik pelaburan bilion-bilion.

Tapi kenapa nak beli vaksin pun kena korek duit simpanan KWAN? https://…"

"
2021-04-25 12:26:31",ciiksalsabila,"RT @1Obefiend: Kita tiada kluster sepaj bola tetapi kita ada kluster sekolah.

Saya tanya tuan puan semua. Siapa lebih penting diberikan su…"

"
2021-04-25 12:26:17",Azmi38739018,"RT @JapenKelantan: Tolong pakai mask/pelitup separuh muko dgn betul adik kakok. Tutup hidung dan mulut buke letok sakut di dagu.

Info On W…"

"
2021-04-25 12:26:04",Azmi38739018,"RT @JapenKelantan: Tolong pakai mask/pelitup separuh muko dgn betul adik kakok. Tutup hidung dan mulut buke letok sakut di dagu.

Info On W…"

"
2021-04-25 12:26:01",ahfirizqi,"Alhamdulillah hari ini 25/4 saya dapat giliran vaksin covid 19 tahap 1, vaksinasi tahap ke 2 akan di laksanakan pad… https://t.co/yRNqCDD1Dt"

"
2021-04-25 12:25:57",amelrida,"punya temen otaknya sempit. emak gua kena corona abis vaksin, dibilang kok bisa gitu ya abis vaksin malah positif.… https://t.co/RLHSsk12sV"

"
2021-04-25 12:25:46",Azmi38739018,"RT @JapenKelantan: Tolong pakai mask/pelitup separuh muko dgn betul adik kakok. Tutup hidung dan mulut buke letok sakut di dagu.

Info On W…"

"
2021-04-25 12:25:41",Azmi38739018,"RT @JapenKelantan: Tolong pakai mask/pelitup separuh muko dgn betul adik kakok. Tutup hidung dan mulut buke letok sakut di dagu.

Info On W…"

"
2021-04-25 12:25:37",amarshakir_69,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:25:33",BlackeChyR1S,"RT @IndonesiaBaikId: Hai SohIB! Jika terinfeksi #COVID19 setelah mendapatkan #Vaksin pertama, kapan ya boleh dapat dosis kedua? 

#Indonesi…"

"
2021-04-25 12:25:30",shiningcrush_,@dashdelune Wkwkwkwkkwkw kok bisa ya wkwkwk imunnya ga kuat ngaruh ga sih? Aku kemaren yg kedua vaksin di batu tetp… https://t.co/B4KOwcVv9p

"
2021-04-25 12:25:24",Azmi38739018,"RT @JapenKelantan: Tolong pakai mask/pelitup separuh muko dgn betul adik kakok. Tutup hidung dan mulut buke letok sakut di dagu.

Info On W…"

"
2021-04-25 12:25:16",itshoneymadu,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:25:14",Azmi38739018,"RT @JapenKelantan: Tolong pakai mask/pelitup separuh muko dgn betul adik kakok. Tutup hidung dan mulut buke letok sakut di dagu.

Info On W…"

"
2021-04-25 12:25:10",aawwaaattiiiiff,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:25:00",Azmi38739018,"RT @JapenKelantan: Tolong pakai mask/pelitup separuh muko dgn betul adik kakok. Tutup hidung dan mulut buke letok sakut di dagu.

Info On W…"

"
2021-04-25 12:24:57",hayitsone,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:24:55",75nadsor,RT @MohdSayutiOmar: Baru 1.3 juta yg sudah divaksin dua dos. Kerajaan kata yg daftar untuk terima vaksinasi rendah. Betulkah atau vaksin yg…

"
2021-04-25 12:24:51",Azmi38739018,"RT @JapenKelantan: Tolong pakai mask/pelitup separuh muko dgn betul adik kakok. Tutup hidung dan mulut buke letok sakut di dagu.

Info On W…"

"
2021-04-25 12:24:49",eojinwa,"RT @aliffnaif_: Vaksin lambat dan tak mengutamakan guru dah murid, tapi boleh utama Ahli Parlimen. Sedangkan Parlimen diarah tutup dan seko…"

"
2021-04-25 12:24:48",nwawaaisyah,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:24:46",88miaw,Akhirnya dapet jadwal vaksin

"
2021-04-25 12:24:43",Azmi38739018,"RT @JapenKelantan: Tolong pakai mask/pelitup separuh muko dgn betul adik kakok. Tutup hidung dan mulut buke letok sakut di dagu.

IOW

25/4…"

"
2021-04-25 12:24:40",marangskerapu,"RT @LagaCawan: Keluarkan wang tak lalu parlimen, perbelanjaan vaksin tak diterangkan, apa keperluan ambil wang tak dijelaskan. 

Duit KWSP…"

"
2021-04-25 12:24:25",waaannnyyy,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

